"","codigo_comuna","nombre_comuna","SituacionFinal","n_estudiantes"
"144",5303,"RINCONADA","Promovido",609
"145",5303,"RINCONADA","Reprobado",11
"146",5303,"RINCONADA","Retirado",27
"147",5304,"SAN ESTEBAN","Promovido",793
"148",5304,"SAN ESTEBAN","Reprobado",8
"149",5304,"SAN ESTEBAN","Retirado",30
"150",5401,"LA LIGUA","Promovido",2626
"151",5401,"LA LIGUA","Reprobado",19
"152",5401,"LA LIGUA","Retirado",73
"153",5402,"CABILDO","Promovido",1396
"154",5402,"CABILDO","Reprobado",7
"155",5402,"CABILDO","Retirado",26
"156",5403,"PAPUDO","Promovido",373
"157",5403,"PAPUDO","Reprobado",2
"158",5403,"PAPUDO","Retirado",9
"159",5404,"PETORCA","Promovido",659
"160",5404,"PETORCA","Reprobado",2
"161",5404,"PETORCA","Retirado",19
"162",5405,"ZAPALLAR","Promovido",698
"163",5405,"ZAPALLAR","Reprobado",3
"164",5405,"ZAPALLAR","Retirado",22
"165",5501,"QUILLOTA","Promovido",7360
"166",5501,"QUILLOTA","Reprobado",179
"167",5501,"QUILLOTA","Retirado",229
"168",5502,"CALERA","Promovido",4356
"169",5502,"CALERA","Reprobado",62
"170",5502,"CALERA","Retirado",171
