"","codigo_comuna","nombre_comuna","Tipo de zona","n_estudiantes","promedio"
"468",13101,"SANTIAGO","Urbano",22158,5.7
"469",13102,"CERRILLOS","Urbano",4813,5.6
"470",13103,"CERRO NAVIA","Urbano",7136,5.6
"471",13104,"CONCHALÍ","Urbano",9043,5.7
"472",13105,"EL BOSQUE","Urbano",13369,5.6
"473",13106,"ESTACIÓN CENTRAL","Urbano",9865,5.6
"474",13107,"HUECHURABA","Urbano",5773,5.8
"475",13108,"INDEPENDENCIA","Urbano",7362,5.7
"476",13109,"LA CISTERNA","Urbano",8590,5.8
"477",13110,"LA FLORIDA","Urbano",27500,5.7
"478",13111,"LA GRANJA","Urbano",7703,5.5
"479",13112,"LA PINTANA","Urbano",13199,5.4
"480",13113,"LA REINA","Urbano",8875,5.9
"481",13114,"LAS CONDES","Urbano",14289,6.1
"482",13115,"LO BARNECHEA","Rural",47,5.9
"483",13115,"LO BARNECHEA","Urbano",8161,6
"484",13116,"LO ESPEJO","Urbano",4665,5.4
"485",13117,"LO PRADO","Urbano",5262,5.7
"486",13118,"MACUL","Urbano",6390,5.8
"487",13119,"MAIPÚ","Urbano",33559,5.8
"488",13120,"ÑUÑOA","Urbano",11585,5.7
"489",13121,"PEDRO AGUIRRE CERDA","Urbano",6932,5.6
"490",13122,"PEÑALOLÉN","Urbano",14543,5.7
"491",13123,"PROVIDENCIA","Urbano",9197,5.8
"492",13124,"PUDAHUEL","Rural",513,5.4
"493",13124,"PUDAHUEL","Urbano",12783,5.6
"494",13125,"QUILICURA","Rural",433,5.7
"495",13125,"QUILICURA","Urbano",15107,5.6
"496",13126,"QUINTA NORMAL","Urbano",9982,5.6
"497",13127,"RECOLETA","Urbano",11686,5.6
"498",13128,"RENCA","Urbano",9484,5.5
"499",13129,"SAN JOAQUÍN","Urbano",4265,5.6
"500",13130,"SAN MIGUEL","Urbano",8101,5.7
"501",13131,"SAN RAMÓN","Urbano",5479,5.6
"502",13132,"VITACURA","Urbano",7798,5.9
"503",13201,"PUENTE ALTO","Rural",1142,5.6
"504",13201,"PUENTE ALTO","Urbano",35587,5.6
"505",13202,"PIRQUE","Rural",749,5.8
"506",13202,"PIRQUE","Urbano",724,5.8
"507",13203,"SAN JOSÉ DE MAIPO","Rural",453,5.3
"508",13203,"SAN JOSÉ DE MAIPO","Urbano",549,5.6
"509",13301,"COLINA","Rural",305,5.8
"510",13301,"COLINA","Urbano",14728,5.7
"511",13302,"LAMPA","Rural",560,5.5
"512",13302,"LAMPA","Urbano",8111,5.6
"513",13303,"TILTIL","Rural",382,5.6
"514",13303,"TILTIL","Urbano",990,5.6
"515",13401,"SAN BERNARDO","Urbano",21798,5.6
"516",13402,"BUIN","Rural",1242,5.6
"517",13402,"BUIN","Urbano",6562,5.8
"518",13403,"CALERA DE TANGO","Rural",1670,5.7
"519",13403,"CALERA DE TANGO","Urbano",324,5.9
"520",13404,"PAINE","Rural",1599,5.7
"521",13404,"PAINE","Urbano",4573,5.6
"522",13501,"MELIPILLA","Rural",2709,5.7
"523",13501,"MELIPILLA","Urbano",7245,5.5
"524",13502,"ALHUÉ","Rural",273,5.3
"525",13502,"ALHUÉ","Urbano",287,4.8
"526",13503,"CURACAVÍ","Rural",568,5.7
"527",13503,"CURACAVÍ","Urbano",2059,5.7
