"","codigo_comuna","nombre_comuna","SituacionFinal","n_estudiantes"
"471",8206,"LOS ÁLAMOS","Reprobado",25
"472",8206,"LOS ÁLAMOS","Retirado",146
"473",8207,"TIRÚA","Promovido",893
"474",8207,"TIRÚA","Reprobado",15
"475",8207,"TIRÚA","Retirado",86
"476",8301,"LOS ÁNGELES","Promovido",16121
"477",8301,"LOS ÁNGELES","Reprobado",100
"478",8301,"LOS ÁNGELES","Retirado",1390
"479",8302,"ANTUCO","Promovido",238
"480",8302,"ANTUCO","Retirado",25
"481",8303,"CABRERO","Promovido",2051
"482",8303,"CABRERO","Reprobado",20
"483",8303,"CABRERO","Retirado",104
"484",8304,"LAJA","Promovido",1735
"485",8304,"LAJA","Reprobado",4
"486",8304,"LAJA","Retirado",110
"487",8305,"MULCHÉN","Promovido",1930
"488",8305,"MULCHÉN","Reprobado",21
"489",8305,"MULCHÉN","Retirado",148
"490",8305,"MULCHÉN",NA,1
"491",8306,"NACIMIENTO","Promovido",2014
"492",8306,"NACIMIENTO","Reprobado",4
"493",8306,"NACIMIENTO","Retirado",110
"494",8307,"NEGRETE","Promovido",683
"495",8307,"NEGRETE","Reprobado",5
"496",8307,"NEGRETE","Retirado",38
"497",8308,"QUILACO","Promovido",228
"498",8308,"QUILACO","Reprobado",2
"499",8308,"QUILACO","Retirado",19
"500",8309,"QUILLECO","Promovido",462
"501",8309,"QUILLECO","Reprobado",3
"502",8309,"QUILLECO","Retirado",35
"503",8310,"SAN ROSENDO","Promovido",173
"504",8310,"SAN ROSENDO","Reprobado",1
"505",8310,"SAN ROSENDO","Retirado",3
"506",8311,"SANTA BÁRBARA","Promovido",1025
"507",8311,"SANTA BÁRBARA","Reprobado",6
"508",8311,"SANTA BÁRBARA","Retirado",58
"509",8312,"TUCAPEL","Promovido",938
"510",8312,"TUCAPEL","Reprobado",5
"511",8312,"TUCAPEL","Retirado",41
"512",8313,"YUMBEL","Promovido",1407
"513",8313,"YUMBEL","Reprobado",10
"514",8313,"YUMBEL","Retirado",110
"515",8314,"ALTO BIOBÍO","Promovido",548
"516",8314,"ALTO BIOBÍO","Reprobado",15
"517",8314,"ALTO BIOBÍO","Retirado",27
"518",9101,"TEMUCO","Promovido",20463
"519",9101,"TEMUCO","Reprobado",270
"520",9101,"TEMUCO","Retirado",2747
"521",9101,"TEMUCO",NA,2
"522",9102,"CARAHUE","Promovido",1891
"523",9102,"CARAHUE","Reprobado",11
