"","codigo_comuna","nombre_comuna","SituacionFinal","n_estudiantes"
"548",9111,"NUEVA IMPERIAL","Retirado",221
"549",9112,"PADRE LAS CASAS","Promovido",5008
"550",9112,"PADRE LAS CASAS","Reprobado",39
"551",9112,"PADRE LAS CASAS","Retirado",446
"552",9113,"PERQUENCO","Promovido",543
"553",9113,"PERQUENCO","Reprobado",15
"554",9113,"PERQUENCO","Retirado",57
"555",9114,"PITRUFQUÉN","Promovido",1969
"556",9114,"PITRUFQUÉN","Reprobado",17
"557",9114,"PITRUFQUÉN","Retirado",145
"558",9115,"PUCÓN","Promovido",2440
"559",9115,"PUCÓN","Reprobado",11
"560",9115,"PUCÓN","Retirado",210
"561",9116,"SAAVEDRA","Promovido",909
"562",9116,"SAAVEDRA","Reprobado",11
"563",9116,"SAAVEDRA","Retirado",133
"564",9117,"TEODORO SCHMIDT","Promovido",1020
"565",9117,"TEODORO SCHMIDT","Reprobado",12
"566",9117,"TEODORO SCHMIDT","Retirado",111
"567",9118,"TOLTÉN","Promovido",745
"568",9118,"TOLTÉN","Reprobado",1
"569",9118,"TOLTÉN","Retirado",72
"570",9119,"VILCÚN","Promovido",2190
"571",9119,"VILCÚN","Reprobado",23
"572",9119,"VILCÚN","Retirado",160
"573",9120,"VILLARRICA","Promovido",5520
"574",9120,"VILLARRICA","Reprobado",24
"575",9120,"VILLARRICA","Retirado",513
"576",9120,"VILLARRICA",NA,1
"577",9121,"CHOLCHOL","Promovido",1011
"578",9121,"CHOLCHOL","Reprobado",20
"579",9121,"CHOLCHOL","Retirado",110
"580",9201,"ANGOL","Promovido",3942
"581",9201,"ANGOL","Reprobado",23
"582",9201,"ANGOL","Retirado",219
"583",9202,"COLLIPULLI","Promovido",1928
"584",9202,"COLLIPULLI","Reprobado",22
"585",9202,"COLLIPULLI","Retirado",129
"586",9203,"CURACAUTÍN","Promovido",1282
"587",9203,"CURACAUTÍN","Reprobado",9
"588",9203,"CURACAUTÍN","Retirado",96
"589",9204,"ERCILLA","Promovido",662
"590",9204,"ERCILLA","Reprobado",2
"591",9204,"ERCILLA","Retirado",62
"592",9205,"LONQUIMAY","Promovido",813
"593",9205,"LONQUIMAY","Reprobado",8
"594",9205,"LONQUIMAY","Retirado",53
"595",9206,"LOS SAUCES","Promovido",468
"596",9206,"LOS SAUCES","Reprobado",6
"597",9206,"LOS SAUCES","Retirado",25
"598",9207,"LUMACO","Promovido",651
"599",9207,"LUMACO","Reprobado",15
"600",9207,"LUMACO","Retirado",30
"601",9208,"PURÉN","Promovido",827
"602",9208,"PURÉN","Reprobado",7
"603",9208,"PURÉN","Retirado",44
"604",9209,"RENAICO","Promovido",692
"605",9209,"RENAICO","Reprobado",1
